idx,className,methodName,time0,time1,childRefs
69,java.lang.invoke.LambdaForm$MH/0x0000015e4e42d000,invoke,12.0,4.0,[68]
70,java.util.AbstractList$RandomAccessSpliterator,getFence,4.0,0.0,[]
71,java.util.AbstractList$RandomAccessSpliterator,estimateSize,4.0,0.0,[70]
72,java.util.Spliterator,getExactSizeIfKnown,4.0,0.0,[71]
73,java.util.stream.AbstractPipeline,copyInto,4.0,0.0,[72]
74,java.util.stream.AbstractPipeline,wrapAndCopyInto,4.0,0.0,[73]
75,java.util.stream.AbstractPipeline,evaluate,4.0,0.0,[74]
76,java.util.stream.AbstractPipeline,evaluateToArrayNode,4.0,0.0,[75]
77,java.util.stream.ReferencePipeline,toArray,4.0,0.0,[76]
78,java.util.stream.ReferencePipeline,toArray,4.0,0.0,[77]
79,java.util.stream.ReferencePipeline,toList,4.0,0.0,[78]
80,io.github.tt432.eyelib.molang.mapping.api.VariantSelector,selectQueryVariant,4.0,0.0,[79]
81,io.github.tt432.eyelib.molang.mapping.api.MolangMappingTree,selectQueryVariant,4.0,0.0,[80]
82,io.github.tt432.eyelib.molang.compiler.MolangRuntimeSupport,resolveMemberAccess,4.0,0.0,[81]
83,io.github.tt432.eyelib.molang.compiler.Molang$Expr$b98d1622/0x0000015e4e1c4400,evaluate,4.0,0.0,[82]
84,java.lang.invoke.LambdaForm$DMH/0x0000015e4c218000,invokeVirtual,4.0,0.0,[83]
85,java.lang.invoke.LambdaForm$MH/0x0000015e4e439400,invoke,4.0,0.0,[84]
86,java.lang.invoke.LambdaForm$MH/0x0000015e4e028400,invoke_MT,16.0,4.0,[69;85]
87,io.github.tt432.eyelib.molang.compiler.MolangCompilerImpl$HiddenMolangExpression,evaluate,16.0,4.0,[86]
88,io.github.tt432.eyelib.molang.compiler.CompiledMolangExpression,apply,16.0,4.0,[87]
89,io.github.tt432.eyelib.molang.MolangValue$$Lambda$6805/0x0000015e4cecb5a0,apply,16.0,4.0,[88]
90,io.github.tt432.eyelib.molang.MolangValue,getObject,16.0,4.0,[89]
91,io.github.tt432.eyelib.molang.MolangValue,eval,16.0,4.0,[90]
92,io.github.tt432.eyelib.molang.MolangValue3,getY,16.0,4.0,[91]
93,java.util.stream.AbstractPipeline,wrapSink,0.0,4.0,[]
94,java.util.stream.AbstractPipeline,wrapAndCopyInto,0.0,4.0,[93]
95,java.util.stream.AbstractPipeline,evaluate,0.0,4.0,[94]
96,java.util.stream.AbstractPipeline,evaluateToArrayNode,0.0,4.0,[95]
97,java.util.stream.ReferencePipeline,toArray,0.0,4.0,[96]
98,java.util.stream.ReferencePipeline,toArray,0.0,4.0,[97]
99,java.util.stream.ReferencePipeline,toList,0.0,4.0,[98]
100,io.github.tt432.eyelib.molang.mapping.api.VariantSelector,variantSpecificity,4.0,0.0,[]
101,io.github.tt432.eyelib.molang.mapping.api.VariantSelector$$Lambda$10594/0x0000015e4e02f8b0,applyAsInt,4.0,0.0,[100]
102,java.util.stream.ReferencePipeline$4$1,accept,4.0,0.0,[101]
103,java.util.AbstractList$RandomAccessSpliterator,forEachRemaining,4.0,0.0,[102]
104,java.util.stream.AbstractPipeline,copyInto,4.0,0.0,[103]
105,java.util.stream.AbstractPipeline,wrapAndCopyInto,4.0,0.0,[104]
106,java.util.stream.ReduceOps$ReduceOp,evaluateSequential,4.0,0.0,[105]
107,java.util.stream.AbstractPipeline,evaluate,4.0,0.0,[106]
108,java.util.stream.IntPipeline,reduce,4.0,0.0,[107]
109,java.util.stream.IntPipeline,max,4.0,0.0,[108]
110,io.github.tt432.eyelib.molang.mapping.api.VariantSelector,selectQueryVariant,4.0,4.0,[99;109]
111,io.github.tt432.eyelib.molang.mapping.api.MolangMappingTree,selectQueryVariant,4.0,4.0,[110]
